Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Latvia,1995,4137.4,2500580,-2265.48,51410,28390,32610,49390,64280,15930,127,1,0,8,8,2
Lithuania,1995,5121.7,3642991,17700.86,73820,8040,9720,76790,82550,37630,4,0,0,0,14,1
Luxembourg,1995,15946.2,405650,9593.98,34960,7970,8650,9240,20910,5770,9,0,0,Not Available,Not Available,Not Available
Hungary,1995,35469.4,10336700,71160.02,191980,54170,77780,614210,210450,79940,143,2,2,3,20,12
Malta,1995,2846.6,376433,2678.31,9660,850,1110,10480,3560,2140,0,0,0,0,5,0
Netherlands,1995,346000.8,15424122,235888.72,563020,44700,61460,136330,433900,218750,155,3,2,1,86,9
Austria,1995,184351.3,7943489,66006.6,198140,25590,39230,46800,248200,63350,20,1,1,0,0,0
Poland,1995,108834.6,38580597,427813.88,1078450,258930,462360,2070590,909820,389620,580,11,14,72,174,52
Portugal,1995,91015.8,10008659,63857.34,289670,70580,105290,321990,238610,72610,790,3,2,4,116,13
Romania,1995,28589.8,22712394,155071.78,353870,72300,113800,696080,268220,248020,356,4,3,37,64,19
Slovenia,1995,16340.4,1989477,13561.91,73690,13650,16460,124520,61940,21430,23,1,0,1,2,1
Slovakia,1995,15322.9,5356207,42665.99,108540,50770,59960,120350,179540,38750,49,1,2,2,4,4
Finland,1995,102643.6,5098754,58572.88,273110,32500,51660,104550,203160,33420,73,2,1,5,47,36
Sweden,1995,204328.5,8816381,36887.13,249640,41890,62100,70780,278590,61100,29,1,1,2,30,12
Norway,1995,116241,4348410,36187.88,219900,43100,52080,34550,401360,28160,25,1,1,3,0,12
Switzerland,1995,270155.4,7019019,48986.59,115870,14020,21930,26120,208600,66010,171,2,4,Not Available,Not Available,Not Available
